subject,subject_id,video_id,age_category,animation,age,race,gender,first_language,proportion_english,clinical_population,interference,speaker_preference,reasoning,shape_preference,color_preference,order_preference,side preference,attentiveness,consent_level,video_quality,audio_quality,engagement,siblings,notes
1,ob323,1_ob323,2,16,2.55,Asian/Indian,male,English,not reported,no,no,impolite,superficial,square,red,second,left,TRUE,1,4,5,4,no,
2,ob340,2_ob340,2,2,2.13,White,male,English,all of the time,no,no,none,none,none,none,none,none,TRUE,2,5,5,3,no,
3,ob333,3_ob333,2,3,2.64,White,male,English,all of the time,no,CHECK,polite,none,triangle,red,second,right,TRUE,1,5,5,5,no,
4,ob392,4_ob392,2,5,2.75,White,female,English,all of the time,no,no,polite,superficial,square,yellow,second,right,TRUE,2,5,5,5,yes,
5,ob474,5_ob474,2,1,2.36,White,male,English,all of the time,no,no,polite,superficial,triangle,red,first,left,TRUE,3,5,5,5,yes,
6,ob417,6_ob417,2,11,2.7,White,female,"English, Portuguese",most of the time,no,no,polite,superficial,square,red,second,right,TRUE,1,4,4,4,,
7,ob427,7_ob427,2,12,2.29,White,male,"Russian, German, English",most of the time,no,CHECK,impolite,other,triangle,yellow,first,right,TRUE,2,5,5,5,,
8,ob483,8_ob483,2,7,2.3,White,female,English,all of the time,yes,no,impolite,none,triangle,red,second,right,TRUE,3,5,5,3.5,,
9,ob448,9_ob448,2,9,2.14,White,male,English,all of the time,no,no,polite,none,square,red,first,left,TRUE,2,4,5,5,no,
10,ob472,10_ob472,2,14,2.65,Prefer not to say,female,English,most of the time,no,no,polite,other,triangle,yellow,second,left,TRUE,1,4,5,5,,
11,ob502,11_ob502,2,6,2.57,White,male,English,all of the time,no,no,impolite,none,triangle,red,first,right,TRUE,2,5,5,5,,playing with a red car
12,ob626,12_ob626,2,13,2.25,White,male,English,all of the time,no,CHECK,polite,CHECK,triangle,yellow,second,right,TRUE,3,5,5,4,,
13,oc236,13_oc236,2,8,2.29,White,female,Englsih,all of the time,no,no,polite,none,square,yellow,first,right,TRUE,3,5,4,3,,
14,oc237,14_oc237,2,4,2.88,White,prefer not to say,English,all of the time,no,no,polite,superficial,triangle,red,second,left,TRUE,2,5,5,5,,
15,ob689,15_ob689,2,15,2.43,White,female,English,most of the time,no,no,polite,superficial,triangle,yellow,first,left,TRUE,2,5,4,4,no,
16,ob476,16_ob476,2,10,2.44,White,male,English,most of the time,no,no,impolite,other,triangle,yellow,second,left,TRUE,2,5,5,4,,has a book in which yellow equates to happy
17,oc359,17_oc359,2,4,2.96,Prefer not to say,female,Gujrati,most of the time,no,no,polite,none,triangle,red,second,left,TRUE,1,5,5,5,,
18,oc405,18_oc405,2,9,2.46,Black/African,male,English,most of the time,no,CHECK,polite,none,square,red,first,left,TRUE,3,5,5,4,,
19,oc393,19_oc393,2,6,2.47,White,female,English,all of the time,no,no,none,none,none,none,none,none,TRUE,3,5,5,5,,
20,oc234,20_oc234,2,16,2.72,White,female,English,all of the time,no,no,impolite,none,square,red,second,left,TRUE,2,5,5,5,,
21,ob252,21_ob252,3,6,3.58,White,female,English,all of the time,no,no,impolite,superficial,triangle,red,first,right,TRUE,3,5,5,4,,
22,ob384,22_ob384,3,12,3.17,White,female,English,all of the time,no,no,impolite,none,triangle,yellow,first,right,TRUE,2,5,5,2,,
23,ob398,23_ob398,3,10,3.09,"Hispanic/Latinx, White",male,English,all of the time,no,no,impolite,superficial,triangle,yellow,second,left,TRUE,3,5,5,5,,
24,ob248,24_ob248,3,13,3.44,White,female,Romanian,all of the time,no,no,impolite,superficial,square,red,first,left,TRUE,2,5,5,4,,
